
Player,Pos,Squad,90s,Crs,Int,TklW,-9999
Brenden Aaronson,MFFW,Leeds United,27.2,37,17,27,5bc43860
Jerome Abbey,MF,Wolves,0.2,0,1,0,4f504fcc
Zach Abbott,DF,Nottingham,1.8,3,2,4,c103921a
Tammy Abraham,FW,Aston Villa,3.2,1,0,1,f586779e
Joshua Acheampong,DF,Chelsea,7.4,1,12,8,b7e62e1d
Tyler Adams,MF,Bournemouth,19.7,3,30,24,2b09d998
Tosin Adarabioyo,DF,Chelsea,8.8,0,9,6,c81d773d
Simon Adingra,MFFW,Sunderland,7.3,27,2,8,4dcec659
Amine Adli,MF,Bournemouth,12.2,39,6,17,dcfb17f4
Emmanuel Agbadou,DF,Wolves,12.2,13,14,21,75f1ed80
Nayef Aguerd,DF,West Ham,2.0,2,1,0,288e1e13
Ola Aina,DF,Nottingham,17.6,39,26,21,246d153b
Rayan Aït-Nouri,DF,Manchester City,10.8,22,13,21,9b398aea
Kristoffer Ajer,DF,Brentford,20.1,7,15,23,a8c0acb7
Nathan Aké,DF,Manchester City,7.7,4,5,6,eaeca114
Carlos Alcaraz,MF,Everton,7.7,6,2,9,4abac767
Omar Alderete,DF,Sunderland,31.1,11,36,18,bb08bce9
Alisson,GK,Liverpool,26.0,0,0,0,7a2e46a8
Max Alleyne,DF,Manchester City,1.5,0,3,3,defcfd32
Alysson,MF,Aston Villa,0.5,2,1,0,99b63a82
Jaydon Amauri Banel,FWMF,Burnley,0.1,0,0,0,98e0d76c
Zeki Amdouni,FWMF,Burnley,0.8,0,0,0,2ee5b0c9
Ethan Ampadu,MF,Leeds United,34.7,25,50,46,10b9fa99
Joachim Andersen,DF,Fulham,31.9,15,34,26,e34fc66d
Elliot Anderson,MF,Nottingham,37.0,175,41,60,de31038e
André,MF,Wolves,30.7,40,25,42,ec604e2c
Nilson Angulo,MF,Sunderland,4.5,7,5,7,a9b9d89c
Jaidon Anthony,MF,Burnley,30.2,80,16,21,e4238fb1
Alphonse Areola,GK,West Ham,20.0,0,1,0,2f965a72
Jhon Arias,FWMF,Wolves,12.5,30,7,27,86d96066
Adam Armstrong,FWMF,Wolves,12.7,5,1,4,68c720b5
Harrison Armstrong,MF,Everton,5.9,3,4,10,de59e609
Tolu Arokodare,FW,Wolves,15.8,0,5,4,a42760bc
Kepa Arrizabalaga,GK,Arsenal,1.0,0,0,0,28d596a0
Taiwo Awoniyi,FW,Nottingham,5.5,1,1,1,e5478b87
Yasin Ayari,MF,Brighton,21.4,24,26,25,f173303a
Benoît Badiashile,DF,Chelsea,5.2,0,9,5,06df8256
Leon Bailey,MF,Aston Villa,5.1,19,4,6,3a233281
Dilane Bakwa,MF,Nottingham,6.1,38,0,3,2b5a35e5
Carlos Baleba,MF,Brighton,18.4,0,28,21,a1390d2f
Daniel Ballard,DF,Sunderland,23.9,1,20,17,38f300f3
Ross Barkley,MF,Aston Villa,9.5,0,2,11,3a24769f
Ashley Barnes,FWMF,Burnley,0.5,0,0,0,2691c772
Harvey Barnes,FWMF,Newcastle,21.8,74,3,5,3ea50f67
Thierno Barry,FW,Everton,21.3,4,5,4,52c3244b
Calvin Bassey,DF,Fulham,28.2,14,22,32,a36524bf
Altay Bayındır,GK,Manchester Utd,6.0,0,0,0,072e68ed
Jean-Ricner Bellegarde,MFFW,Wolves,13.9,25,9,15,10f0fdd3
Walter Benítez,GK,Crystal Palace,1.0,0,0,0,8a2248b4
Rodrigo Bentancur,MF,Tottenham,20.9,7,36,36,3b8674e6
Daniel Bentley,GK,Wolves,3.0,0,0,0,68db6358
Sander Berge,MF,Fulham,32.3,13,26,41,d0b6129f
Lucas Bergvall,MF,Tottenham,10.7,19,3,14,a109e5c8
Beto,FW,Everton,17.4,2,1,5,ed5c0319
Jaka Bijol,DF,Leeds United,21.0,1,22,13,6fdac234
Yves Bissouma,MF,Tottenham,6.7,1,8,11,6c203af0
Marco Bizot,GK,Aston Villa,6.5,0,0,0,3d214e5f
Oscar Bobb,MFFW,Manchester City,5.2,5,3,5,eed2427e
Oscar Bobb,MF,Fulham,6.3,9,6,7,eed2427e
Lamare Bogarde,MFDF,Aston Villa,11.7,2,4,19,bca5c4a7
Jayden Bogle,MFDF,Leeds United,31.0,67,30,43,ae5019e6
Sebastiaan Bornauw,DF,Leeds United,4.8,1,7,4,01834aa0
Olivier Boscagli,DF,Brighton,8.9,15,16,11,403f5d20
Sven Botman,DF,Newcastle,20.4,2,25,14,ccce7025
Jarrod Bowen,MFFW,West Ham,37.8,148,27,28,79c84d1c
Conor Bradley,DF,Liverpool,10.3,23,12,15,bbd67769
Jarrad Branthwaite,DF,Everton,7.6,3,11,6,c1949191
Brian Brobbey,FW,Sunderland,21.4,2,0,2,4c184730
Armando Broja,FW,Burnley,9.6,3,3,3,97220da2
David Brooks,MF,Bournemouth,13.4,59,4,13,dc4cae05
Jacob Bruun Larsen,MFFW,Burnley,11.4,42,6,3,4e204552
Emi Buendía,MF,Aston Villa,19.5,10,13,27,66b76d44
Hugo Bueno,MFDF,Wolves,26.3,166,33,35,bfc3b3a0
Santiago Bueno,DF,Wolves,28.4,6,27,30,edc98fac
Facundo Buonanotte,MF,Chelsea,0.5,0,0,0,468a7a91
Facundo Buonanotte,MF,Leeds United,0.4,2,1,0,468a7a91
Dan Burn,DF,Newcastle,24.4,14,20,26,b2d31e83
Bradley Burrowes,MF,Aston Villa,0.2,3,0,0,802ee5ca
Jun'ai Byfield,DF,Tottenham,0.0,0,0,0,0312881b
Sam Byram,DFMF,Leeds United,0.1,0,0,1,1bf811d4
Moisés Caicedo,MF,Chelsea,31.1,8,59,47,16264a81
Tom Cairney,MF,Fulham,8.6,6,4,4,a8748947
Riccardo Calafiori,DF,Arsenal,18.9,21,13,19,aded8e6f
Dominic Calvert-Lewin,FW,Leeds United,30.2,9,5,4,59e6e5bf
Jaydee Canvot,DF,Crystal Palace,14.8,5,12,22,3684108d
Rio Cardines,MF,Crystal Palace,1.0,3,0,1,702812fe
Fabio Carvalho,MF,Brentford,1.1,5,0,2,966e28d0
Casemiro,MF,Manchester Utd,28.6,19,30,45,4d224fe8
Matty Cash,DF,Aston Villa,33.5,131,24,32,2389cdc2
Timothy Castagne,DFMF,Fulham,20.5,48,28,24,197640fd
Valentín Castellanos,FW,West Ham,15.4,9,6,9,da76bab4
Trevoh Chalobah,DF,Chelsea,30.9,5,37,22,5515376c
Rayan Cherki,MF,Manchester City,19.8,80,7,16,b34c63a5
Federico Chiesa,MF,Liverpool,3.8,17,4,5,b0f7e36c
Tawanda Chirewa,MF,Wolves,0.3,0,0,0,34721c11
Ryan Christie,MF,Bournemouth,11.0,17,11,20,26ce2263
Samuel Chukwueze,MF,Fulham,12.0,43,6,4,b8a642fc
Dennis Cirkin,DF,Sunderland,3.6,3,5,5,307ea3b6
Nathaniel Clyne,MFDF,Crystal Palace,6.6,15,7,9,0442183b
Séamus Coleman,DF,Everton,0.2,3,0,0,0420d84f
Nathan Collins,DF,Brentford,33.1,1,36,13,a8c19eb8
Levi Colwill,DF,Chelsea,2.5,1,5,2,700783e7
Lewis Cook,MFDF,Bournemouth,9.7,44,21,17,2afc7272
Diego Coppola,DF,Brighton,2.2,0,1,2,22ae86f9
Marc Cucurella,DF,Chelsea,30.1,41,28,40,1daec722
Jorge Cuenca,DF,Fulham,10.4,2,15,10,0abc51f2
Josh Cullen,MF,Burnley,16.8,12,24,19,f6d7d690
Jair Cunha,DF,Nottingham,5.7,2,5,5,ac31d35e
Matheus Cunha,MFFW,Manchester Utd,27.7,49,21,23,dc62b55d
Diogo Dalot,DFMF,Manchester Utd,29.0,57,26,30,d9565625
Mikkel Damsgaard,MF,Brentford,22.8,95,24,34,215f3907
Kevin Danso,DF,Tottenham,16.6,7,25,13,6e33125f
Karl Darlow,GK,Leeds United,22.0,0,0,0,cde3309f
Josh Dasilva,MF,Brentford,0.0,0,0,0,60344e4f
Ben Davies,DF,Tottenham,1.5,3,1,4,44781702
Maxim De Cuyper,DFMF,Brighton,15.7,77,11,10,d494882e
Liam Delap,FW,Chelsea,12.3,6,1,3,dd897ee7
Sepp van den Berg,DF,Brentford,30.7,0,26,9,7bf9400b
Jesse Derry,MF,Chelsea,0.5,2,0,1,bbfe0e5d
Justin Devenny,MFFW,Crystal Palace,8.8,17,1,11,6c2b66fc
Kiernan Dewsbury-Hall,MF,Everton,29.2,112,14,26,5c74c0f5
Bafodé Diakité,DF,Bournemouth,14.2,1,10,15,1bfb6fef
Amad Diallo,MF,Manchester Utd,26.0,46,15,23,9dc96f10
Habib Diarra,MF,Sunderland,15.6,32,4,7,6d0fe035
Rúben Dias,DF,Manchester City,23.8,9,23,6,31c69ef1
Tyler Dibling,MF,Everton,4.0,7,6,3,bdcc89ae
Lucas Digne,DF,Aston Villa,20.6,108,13,26,1b84dbe1
Issa Diop,DF,Fulham,9.1,1,6,2,a712ca2b
El Hadji Malick Diouf,DFMF,West Ham,30.1,109,32,19,bd5eb2e5
Axel Disasi,DF,West Ham,13.9,0,12,10,ad82197c
Matt Doherty,DFMF,Wolves,8.7,8,7,8,d557d734
Jeremy Doku,MFFW,Manchester City,19.8,62,12,16,fffea3e5
Nicolás Domínguez,MF,Nottingham,13.1,14,6,30,20b3a502
Gianluigi Donnarumma,GK,Manchester City,34.0,0,1,0,08f5afaa
Romelle Donovan,FW,Brentford,0.5,2,0,0,519db366
Patrick Dorgu,MF,Manchester Utd,16.1,57,16,30,e6536124
Max Dowman,MF,Arsenal,1.7,6,1,2,9008bb70
Radu Drăgușin,DF,Tottenham,5.7,3,16,3,620922ed
Joél Drakes-Thomas,MF,Crystal Palace,0.1,0,0,1,1bd530e8
Martin Dúbravka,GK,Burnley,35.0,0,0,1,3a949a25
Lewis Dunk,DF,Brighton,31.5,5,30,22,282f75f3
George Earthy,MF,West Ham,0.1,0,0,0,123d2733
Odsonne Édouard,FW,Crystal Palace,0.0,0,0,1,0562b7f1
Tom Edozie,MF,Wolves,0.2,0,0,0,3354ea94
Marcus Edwards,MFFW,Burnley,11.9,19,3,6,57760e66
Hjalmar Ekdal,DF,Burnley,17.1,1,12,17,3d554589
Hugo Ekitike,FW,Liverpool,20.0,7,4,7,5b92d896
Anthony Elanga,FWMF,Newcastle,14.7,83,3,11,2fba6108
Melker Ellborg,GK,Sunderland,3.0,0,0,0,013d348e
Harvey Elliott,MF,Aston Villa,1.2,3,0,0,b9e1436c
Harvey Elliott,FWMF,Liverpool,0.0,0,0,0,b9e1436c
Wataru Endo,DF,Liverpool,1.9,3,0,3,c149016b
Romain Esse,MF,Crystal Palace,0.5,2,0,1,87189f25
Dario Essugo,MF,Chelsea,0.3,0,0,3,1e4319ac
Maxime Estève,DF,Burnley,32.6,6,37,27,1a066e69
Evanilson,FW,Bournemouth,30.5,3,6,5,6f3cc2fe
